Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.98705E-4,51.277105322,0.775697022,0.055315055,0.488607595,0
6.03576E-4,51.517746017,0.778408193,0.054930255,0.488607595,0
6.05558E-4,51.759803695,0.77950194,0.054545455,0.491139241,0
6.07829E-4,52.002346478,0.780749116,0.054160654,0.491139241,0
6.11827E-4,52.307598433,0.782926417,0.053679654,0.493670886,0
6.13253E-4,52.552753442,0.783698183,0.053294853,0.496202532,0
6.14717E-4,52.798429808,0.784487342,0.052910053,0.501265823,0
6.16145E-4,53.044658377,0.785254055,0.052525253,0.503797468,0
6.19789E-4,53.292218276,0.787198829,0.052140452,0.506329114,0
6.21516E-4,53.540712299,0.788114615,0.051755652,0.506329114,0
6.25425E-4,53.790197637,0.790172475,0.051370851,0.508860759,0
6.28715E-4,54.04115069,0.791888633,0.050986051,0.511392405,0
6.32862E-4,54.293793791,0.794032435,0.050601251,0.516455696,0
6.34097E-4,54.547238804,0.794666643,0.05021645,0.518987342,0
6.36983E-4,54.801761889,0.796140669,0.04983165,0.521518987,0
6.38974E-4,55.057174331,0.797151253,0.049446849,0.524050633,0
6.39509E-4,55.312882729,0.797422019,0.049062049,0.529113924,0
6.40345E-4,55.504874157,0.797844563,0.048773449,0.53164557,0
6.42942E-4,55.761721752,0.79915133,0.048388648,0.536708861,0
6.45262E-4,56.01945751,0.800310981,0.048003848,0.539240506,0
6.46552E-4,56.277897556,0.800953191,0.047619048,0.541772152,0
6.49658E-4,56.537604762,0.802490673,0.047234247,0.551898734,0
6.50002E-4,56.797545191,0.8026605,0.046849447,0.55443038,0
6.51508E-4,57.057835015,0.803400938,0.046464646,0.556962025,0
6.52532E-4,57.253484132,0.803903094,0.046176046,0.559493671,0
6.53554E-4,57.514700306,0.80440283,0.045791246,0.562025316,0
6.55217E-4,57.77656215,0.80521286,0.045406445,0.567088608,0
6.57914E-4,58.039233938,0.806520329,0.045021645,0.569620253,0
6.59968E-4,58.302912882,0.807509988,0.044636845,0.574683544,0
6.62262E-4,58.50138337,0.8086093,0.044348244,0.57721519,0
6.67142E-4,58.767661336,0.810926788,0.043963444,0.579746835,0
6.6814E-4,59.034809802,0.81139738,0.043578644,0.584810127,0
6.69006E-4,59.302299885,0.811804934,0.043193843,0.589873418,0
6.71095E-4,59.503557063,0.812783565,0.042905243,0.589873418,0
6.74919E-4,59.772733968,0.814562635,0.042520443,0.592405063,0
6.79266E-4,60.043938913,0.816564344,0.042135642,0.592405063,0
6.8063E-4,60.315990258,0.817187692,0.041750842,0.594936709,0
6.82259E-4,60.52063313,0.817929789,0.041462241,0.597468354,0
6.84959E-4,60.794199489,0.819153061,0.041077441,0.6,0
6.88345E-4,61.000511521,0.820675467,0.040788841,0.602531646,0
6.92957E-4,61.276760223,0.822728441,0.04040404,0.602531646,0
6.94861E-4,61.554362226,0.823568963,0.04001924,0.607594937,0
6.96557E-4,61.763100761,0.824314761,0.03973064,0.610126582,0
6.99553E-4,62.042545472,0.825623968,0.039345839,0.615189873,0
7.00633E-4,62.252593036,0.8260934,0.039057239,0.620253165,0
7.01945E-4,62.533169796,0.8266623,0.038672439,0.620253165,0
7.04632E-4,62.814727052,0.827821071,0.038287638,0.62278481,0
7.05123E-4,63.026193995,0.828031843,0.037999038,0.627848101,0
7.06098E-4,63.308437229,0.828450105,0.037614238,0.630379747,0
7.07033E-4,63.520499858,0.828849869,0.037325637,0.630379747,0
7.08806E-4,63.803903516,0.829606193,0.036940837,0.632911392,0
7.0971E-4,64.016734384,0.829990083,0.036652237,0.637974684,0
7.15251E-4,64.302072255,0.832325797,0.036267436,0.637974684,0
7.1674E-4,64.517062259,0.832947889,0.035978836,0.640506329,0
7.20188E-4,64.804574722,0.834379912,0.035594036,0.643037975,0
7.21783E-4,65.020869328,0.83503821,0.035305435,0.643037975,0
7.26039E-4,65.310363577,0.836781677,0.034920635,0.648101266,0
7.28057E-4,65.528544689,0.837601973,0.034632035,0.653164557,0
7.29406E-4,65.820141727,0.838148174,0.034247234,0.655696203,0
7.35928E-4,66.040232057,0.840762092,0.033958634,0.655696203,0
7.42292E-4,66.262626134,0.84327233,0.033670034,0.655696203,0
7.47297E-4,66.560971159,0.845218549,0.033285233,0.660759494,0
7.55168E-4,66.786352647,0.848230547,0.032996633,0.665822785,0
7.57626E-4,67.013567551,0.849158771,0.032708033,0.66835443,0
